datetime,log key,log data
2018:09:30:20:00:07:658,117-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:659,118-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:659,119-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:660,120-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:661,121-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:662,122-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:663,123-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:669,124-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:682,125-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:692,126-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:702,127-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:710,128-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:714,129-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:716,130-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:716,131-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:717,132-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:719,133-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:719,134-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
2018:09:30:20:00:07:720,135-MMStrategy,cancelAllOrders-hold=0, order>0, board.spread < entry_spread
