id,datetime,side,price,size,buy_child_order_acceptance_id,sell_child_order_acceptance_id
400153783,2018:09:02:06:51:45:730,BUY,808685,0.0525,JRF20180902-065145-361702,JRF20180902-065145-541062
400153784,2018:09:02:06:51:45:730,BUY,808688,0.0672,JRF20180902-065145-361702,JRF20180902-065145-453432
400153785,2018:09:02:06:51:45:730,BUY,808690,0.7,JRF20180902-065145-361702,JRF20180902-065145-200795
400153786,2018:09:02:06:51:45:730,BUY,808690,0.1,JRF20180902-065145-361702,JRF20180902-065145-050458
400153787,2018:09:02:06:51:45:730,BUY,808695,0.07,JRF20180902-065145-361702,JRF20180902-065145-016922
400153788,2018:09:02:06:51:45:730,BUY,808697,0.01,JRF20180902-065145-361702,JRF20180902-065145-697626
400153789,2018:09:02:06:51:45:730,BUY,808698,0.15,JRF20180902-065145-361702,JRF20180902-065145-200796
400153790,2018:09:02:06:51:45:730,BUY,808700,0.78,JRF20180902-065145-361702,JRF20180902-065140-151589
400153791,2018:09:02:06:51:45:745,BUY,808701,0.09016599,JRF20180902-065145-361702,JRF20180902-065143-872707
400153792,2018:09:02:06:51:45:745,BUY,808703,0.04,JRF20180902-065145-361702,JRF20180902-065140-016888
400153793,2018:09:02:06:51:45:745,BUY,808703,0.05,JRF20180902-065145-361702,JRF20180902-065142-111765
400153794,2018:09:02:06:51:45:745,BUY,808703,0.5,JRF20180902-065145-361702,JRF20180902-065144-227881
400153795,2018:09:02:06:51:45:745,BUY,808704,7.17573401,JRF20180902-065145-361702,JRF20180902-065139-541028
400153796,2018:09:02:06:51:45:761,SELL,808655,0.01,JRF20180902-065145-050459,JRF20180902-065144-912574
400153797,2018:09:02:06:51:46:026,SELL,808655,0.01,JRF20180902-065145-050459,JRF20180902-065124-091791
400153798,2018:09:02:06:51:46:058,SELL,808655,0.01,JRF20180902-065145-050459,JRF20180902-065139-094215
400153799,2018:09:02:06:51:46:073,SELL,808655,0.0108355,JRF20180902-065145-050459,JRF20180902-065139-094618
400153800,2018:09:02:06:51:46:073,SELL,808652,0.0001645,JRF20180902-065145-200797,JRF20180902-065139-094618
400153801,2018:09:02:06:51:46:136,SELL,808652,0.05,JRF20180902-065145-200797,JRF20180902-065145-200800
400153802,2018:09:02:06:51:46:198,SELL,808652,0.0298355,JRF20180902-065145-200797,JRF20180902-065146-151615
400153803,2018:09:02:06:51:46:198,SELL,808648,0.0301645,JRF20180902-065145-200798,JRF20180902-065146-151615
400153804,2018:09:02:06:51:46:214,BUY,808666,0.01,JRF20180902-065138-093871,JRF20180902-065145-967000
400153805,2018:09:02:06:51:46:323,BUY,808666,0.01,JRF20180902-065146-361708,JRF20180902-065145-967000
400153808,2018:09:02:06:51:46:401,SELL,808660,0.01,JRF20180902-065146-151618,JRF20180902-065122-090994
400153809,2018:09:02:06:51:46:464,SELL,808660,0.05,JRF20180902-065146-151618,JRF20180902-065146-967004
400153810,2018:09:02:06:51:46:464,SELL,808657,0.15,JRF20180902-065146-016930,JRF20180902-065146-967004
400153811,2018:09:02:06:51:46:464,SELL,808656,0.108594,JRF20180902-065146-361707,JRF20180902-065146-967004
400153812,2018:09:02:06:51:46:464,SELL,808648,0.0198355,JRF20180902-065145-200798,JRF20180902-065146-967004
400153813,2018:09:02:06:51:46:464,SELL,808648,0.06,JRF20180902-065145-966998,JRF20180902-065146-967004
